id_releve,horodatage,zone,temperature_interieure_c,temperature_exterieure_c,humidite_pct,occupation_personnes,type_jour,consommation_kwh
10676,2025-03-30 23:00:00,BUREAU NORD,21.01,4.89,44.5,0,weekend,10.732
10061,2025-03-25 20:00:00,Bureau_Nord,20.29,6.76,38.5,9,ouvré,9.95
3217,2025-01-27 19:00:00,Bureau_Sud,19.59,4.73,38.6,10,ouvré,11.868
2726,2025-01-23 17:00:00,BUREAU NORD,21.2,3.29,45.2,9,ouvré,14.605
6683,2025-02-25 16:00:00,Atelier,21.34,7.84,37.1,1,ouvré,27.616
10305,2025-03-27 20:00:00,Accueil,21.94,8.12,43.8,7,ouvré,7.094
5897,2025-02-19 03:00:00,Bureau_Sud,21.17,0.34,,4,ouvré,11.19
2779,2025-01-24 03:00:00,Salle_Serveur,20.97,-0.2,60.6,0,ouvré,45.805
657,2025-01-06 11:00:00,Bureau_Sud,19.51,5.39,41.2,0,ouvré,17.83
1767,2025-01-15 17:00:00,Bureau_Sud,20.57,6.15,39.5,1,ouvré,14.442
10053,2025-03-25 18:00:00,Atelier,21.0,10.56,45.9,5,ouvré,15.921
4377,2025-02-06 11:00:00,bureau sud,20.26,5.53,42.1,9,ouvré,16.448
8090,2025-03-09 09:00:00,Accueil,,7.99,43.7,0,,6.524
2711,2025-01-23 14:00:00,bureau_nord,20.26,5.84,47.8,11,ouvré,
5675,2025-02-17 06:00:00,Accueil,20.25,-0.55,49.5,0,ouvré,11.777
4460,2025-02-07 03:00:00,Accueil,20.26,-1.77,39.6,8,ouvré,10.069
4624,2025-02-08 12:00:00,Salle Serveur,20.75,5.53,48.2,0,weekend,43.913
8401,2025-03-12 00:00:00,BUREAU NORD,20.44,3.37,43.0,1,ouvré,9.848
3717,2025-01-31 23:00:00,bureau sud,21.45,1.09,39.1,4,ouvré,9.855
9726,2025-03-23 01:00:00,BUREAU NORD,21.99,4.86,53.1,0,weekend,9.43
389,2025-01-04 05:00:00,Salle_Serveur,,-0.12,45.9,0,weekend,48.846
6839,2025-02-26 23:00:00,Salle Serveur,21.76,1.97,46.3,0,ouvré,47.315
6737,2025-02-26 03:00:00,bureau sud,21.16,-2.21,50.7,6,ouvré,11.608
1973,2025-01-17 10:00:00,Atelier,21.56,3.58,,2,ouvré,27.032
8827,2025-03-15 13:00:00,bureau sud,20.4,8.85,47.7,,weekend,7.32
4382,2025-02-06 12:00:00,Bureau_Sud,20.89,8.01,50.8,9,ouvré,17.966
7981,2025-03-08 12:00:00,Bureau_Nord,22.41,7.73,38.8,0,weekend,8.454
3210,2025-01-27 17:00:00,accueil ,19.27,5.88,52.5,11,ouvré,9.614
3971,2025-02-03 02:00:00,Bureau_Nord,21.51,-0.84,46.4,7,ouvré,10.827
960,2025-01-08 23:00:00,accueil ,19.69,-0.57,46.5,5,ouvré,9.884
8072,2025-03-09 06:00:00,bureau sud,22.25,3.22,39.2,0,weekend,9.565
302,2025-01-03 12:00:00,Bureau_Sud,22.05,4.62,38.1,2,ouvré,19.141
